Customer_ID,Name,Email,City,Order_Amount,Order_Date
101,John Doe,john@gmail.com,Bangalore,2500,2024-01-05
102,Jane Smith,jane@gmail.com,Mumbai,1800,2024-01-06
103,Ravi Kumar,ravi@gmail.com,delhi,NaN,2024-01-07
104,Anita Sharma,anita@gmail.com,Chennai,2200,
105,John Doe,john@gmail.com,Bangalore,2500,2024-01-05
106,Ali Khan,,Hyderabad,1500,2024-01-08
107,Priya Singh,priya@gmail.com,MUMBAI,2000,2024-01-09
108,Sunil Gupta,sunil@gmail.com,Delhi,1700,2024-01-10
109,,noemail@,Kolkata,1600,2024-01-11
110,Neha Verma,neha@gmail.com,Bangalore,abc,2024-01-12
